metric,mean,sd
R2,0.47370930568957503,0.015850147591282327
Pearson,0.6925104554596797,0.010232843462881055
RMSE,0.23330065578373582,0.003507326152764176
ACC,0.7775757575757576,0.007974362040570162
Precision,0.7666570793006271,0.027937958714085935
Recall,0.7306397306397306,0.041168415018981455
F1,0.746997268439211,0.010459255348094425
AUC,0.8651028188218272,0.005485230258883252
MCC,0.5507998397115419,0.013950627850040854
