seed,fold,best_epoch
2024,0,25
2024,1,21
2024,2,14
2024,3,28
2024,4,24
2025,0,13
2025,1,20
2025,2,14
2025,3,18
2025,4,22
2026,0,21
2026,1,19
2026,2,16
2026,3,17
2026,4,21
2027,0,15
2027,1,33
2027,2,22
2027,3,17
2027,4,21
2028,0,19
2028,1,22
2028,2,23
2028,3,21
2028,4,28
