seed,refit_epoch,R2,Pearson,RMSE,ACC,Precision,Recall,F1,AUC,MCC
2024,25,0.4508391148521943,0.675987175368999,0.23833738496526877,0.7696969696969697,0.7735849056603774,0.6902356902356902,0.7295373665480427,0.8562484347608315,0.532751942992064
2025,20,0.4783339014854744,0.6921832365093196,0.23229436717254656,0.7833333333333333,0.7711267605633803,0.7373737373737373,0.7538726333907056,0.8642531838124126,0.560988739861745
2026,21,0.46726382253444165,0.695024287657642,0.2347461438470846,0.7681818181818182,0.7181818181818181,0.797979797979798,0.7559808612440191,0.8658114663624306,0.5390657372753955
2027,22,0.49360823062104653,0.7039583404782047,0.22886832485832917,0.7818181818181819,0.7822878228782287,0.7138047138047138,0.7464788732394366,0.8699668864958121,0.5574894708798331
2028,23,0.4785014589547182,0.6953992372842328,0.23225705807544994,0.7848484848484848,0.7881040892193308,0.7138047138047138,0.7491166077738516,0.8692341226776489,0.5637033075486716
