metric,mean,sd
R2,0.4805628624140928,0.007913326380880728
Pearson,0.7011827605797143,0.004748436487006245
RMSE,0.23179217031207616,0.001768150237987346
ACC,0.7839393939393939,0.008873666948088678
Precision,0.7777319554788142,0.03248093005541558
Recall,0.7326599326599327,0.05385100598929227
F1,0.7526120189550839,0.016862224569542394
AUC,0.8721447718692896,0.004675166944259927
MCC,0.5641710774934786,0.01737569593755633
