seed,fold,epoch,g_physics,g_esm
2024,0,0,0.47604671120643616,0.48664572834968567
2024,0,1,0.49110040068626404,0.4855523109436035
2024,0,2,0.4921315312385559,0.48500892519950867
2024,0,3,0.48838087916374207,0.4836428165435791
2024,0,4,0.48986759781837463,0.48634639382362366
2024,0,5,0.48792168498039246,0.4962136149406433
2024,0,6,0.48333975672721863,0.5103377103805542
2024,0,7,0.4907126724720001,0.5136309266090393
2024,0,8,0.4837814271450043,0.5335969924926758
2024,0,9,0.48190081119537354,0.548111617565155
2024,0,10,0.48987719416618347,0.5680543780326843
2024,0,11,0.4822215139865875,0.5965121388435364
2024,0,12,0.4886963367462158,0.6143485903739929
2024,0,13,0.49461814761161804,0.6254150867462158
2024,0,14,0.49646222591400146,0.648582935333252
2024,0,15,0.49895530939102173,0.6917451024055481
2024,0,16,0.5079739093780518,0.7127529978752136
2024,0,17,0.4990624785423279,0.7225247621536255
2024,0,18,0.5023280382156372,0.7237328290939331
2024,0,19,0.4995623230934143,0.7407270669937134
2024,0,20,0.4987789988517761,0.7542985081672668
2024,0,21,0.5081456899642944,0.7584290504455566
2024,0,22,0.5105361938476562,0.7584805488586426
2024,0,23,0.5080562829971313,0.7736533880233765
2024,0,24,0.5227131843566895,0.7689474821090698
2024,0,25,0.49209585785865784,0.7827020883560181
2024,0,26,0.4620501697063446,0.771345317363739
2024,0,27,0.4613521993160248,0.7542925477027893
2024,0,28,0.4387074112892151,0.7552750706672668
2024,0,29,0.4494257867336273,0.7561306953430176
2024,0,30,0.405386745929718,0.7735593914985657
2024,0,31,0.42261359095573425,0.7603390216827393
2024,0,32,0.4050620198249817,0.7395960688591003
2024,0,33,0.42137402296066284,0.7218027114868164
2024,0,34,0.4140985310077667,0.7357069253921509
2024,0,35,0.3861546218395233,0.7291078567504883
2024,0,36,0.3857184946537018,0.7170671224594116
2024,0,37,0.38610702753067017,0.7380198240280151
2024,0,38,0.36840352416038513,0.7387299537658691
2024,0,39,0.35497260093688965,0.7318633198738098
2024,0,40,0.3630446493625641,0.6972550749778748
2024,0,41,0.3464089632034302,0.7158742547035217
2024,0,42,0.3397482633590698,0.690005898475647
2024,0,43,0.343658983707428,0.7066220045089722
2024,0,44,0.3443005681037903,0.6725108623504639
2024,0,45,0.3373602628707886,0.6556227207183838
2024,0,46,0.31205832958221436,0.6643965244293213
2024,0,47,0.31193962693214417,0.6774023175239563
2024,0,48,0.3265988230705261,0.6568252444267273
2024,1,0,0.4902956783771515,0.4939781427383423
2024,1,1,0.4933437705039978,0.49334877729415894
2024,1,2,0.496784508228302,0.49711862206459045
2024,1,3,0.49442532658576965,0.49914810061454773
2024,1,4,0.4991986155509949,0.5029292106628418
2024,1,5,0.49642306566238403,0.5100470781326294
2024,1,6,0.49143996834754944,0.5175459980964661
2024,1,7,0.49436134099960327,0.5256476998329163
2024,1,8,0.4975477159023285,0.5344364643096924
2024,1,9,0.49003133177757263,0.5587059855461121
2024,1,10,0.4943031966686249,0.5768817663192749
2024,1,11,0.4906976819038391,0.6080248355865479
2024,1,12,0.5014280080795288,0.6306127309799194
2024,1,13,0.5044160485267639,0.6497011780738831
2024,1,14,0.5134234428405762,0.6674274206161499
2024,1,15,0.5095618963241577,0.695185124874115
2024,1,16,0.5097610950469971,0.7216728329658508
2024,1,17,0.5088610649108887,0.7420156002044678
2024,1,18,0.5171356797218323,0.7566354870796204
2024,1,19,0.5050407648086548,0.7743476033210754
2024,1,20,0.5326539874076843,0.7760156393051147
2024,1,21,0.5151383876800537,0.7943000197410583
2024,1,22,0.5321801900863647,0.808083713054657
2024,1,23,0.5297685265541077,0.7986643314361572
2024,1,24,0.5163060426712036,0.8084390759468079
2024,1,25,0.4929482340812683,0.8031431436538696
2024,1,26,0.46467387676239014,0.8101382851600647
2024,1,27,0.4589781165122986,0.8072509765625
2024,1,28,0.44203421473503113,0.7963277697563171
2024,1,29,0.407656192779541,0.7962380051612854
2024,1,30,0.4174242317676544,0.803023099899292
2024,1,31,0.451545387506485,0.7620169520378113
2024,1,32,0.41756099462509155,0.7716437578201294
2024,1,33,0.4006936848163605,0.7709639668464661
2024,1,34,0.3867439925670624,0.7526169419288635
2024,1,35,0.36984843015670776,0.7657586932182312
2024,1,36,0.37543895840644836,0.7591713070869446
2024,1,37,0.37020036578178406,0.7340779900550842
2024,1,38,0.3604883551597595,0.7254341244697571
2024,1,39,0.38187503814697266,0.7183959484100342
2024,1,40,0.3548954427242279,0.7125343680381775
2024,1,41,0.3626241087913513,0.712427020072937
2024,1,42,0.3493788242340088,0.7148591876029968
2024,1,43,0.3464750051498413,0.6955297589302063
2024,1,44,0.35080280900001526,0.6998697519302368
2024,1,45,0.3388237953186035,0.6824682354927063
2024,1,46,0.3384028375148773,0.6823834776878357
2024,1,47,0.34934201836586,0.6651557087898254
2024,1,48,0.3245757818222046,0.6839696168899536
2024,1,49,0.3231629729270935,0.6708657145500183
2024,1,50,0.32523322105407715,0.6642433404922485
2024,2,0,0.49583572149276733,0.5001326203346252
2024,2,1,0.502802312374115,0.4985097050666809
2024,2,2,0.5098415613174438,0.48637649416923523
2024,2,3,0.5096742510795593,0.48876792192459106
2024,2,4,0.5034879446029663,0.48885679244995117
2024,2,5,0.49904853105545044,0.49789565801620483
2024,2,6,0.4942888617515564,0.5020712614059448
2024,2,7,0.4921881854534149,0.5238639712333679
2024,2,8,0.49430686235427856,0.538779616355896
2024,2,9,0.5004369020462036,0.5611081719398499
2024,2,10,0.5095489621162415,0.5759168863296509
2024,2,11,0.5034693479537964,0.5912866592407227
2024,2,12,0.5024279356002808,0.6237420439720154
2024,2,13,0.5140619874000549,0.6513850092887878
2024,2,14,0.5241464972496033,0.6711477637290955
2024,2,15,0.5174102187156677,0.7012664675712585
2024,2,16,0.5167878270149231,0.719380795955658
2024,2,17,0.528633713722229,0.7298139929771423
2024,2,18,0.5258644223213196,0.7362207174301147
2024,2,19,0.5242506861686707,0.7449990510940552
2024,2,20,0.5268278121948242,0.7786316871643066
2024,2,21,0.5222397446632385,0.7782819271087646
2024,2,22,0.5370572805404663,0.787304699420929
2024,2,23,0.5445130467414856,0.7995243072509766
2024,2,24,0.5392407774925232,0.8079069256782532
2024,2,25,0.5177099108695984,0.8003320097923279
2024,2,26,0.5026825666427612,0.8033221960067749
2024,2,27,0.49107709527015686,0.7740837335586548
2024,2,28,0.47802355885505676,0.7772368788719177
2024,2,29,0.47143614292144775,0.7527719736099243
2024,2,30,0.45344260334968567,0.7268354296684265
2024,2,31,0.44799941778182983,0.7368472218513489
2024,2,32,0.45806023478507996,0.7383527159690857
2024,2,33,0.44147050380706787,0.738474428653717
2024,2,34,0.4498196542263031,0.7077531218528748
2024,2,35,0.4341382384300232,0.7072359323501587
2024,2,36,0.4007565975189209,0.7111642956733704
2024,2,37,0.4030817747116089,0.6731305122375488
2024,2,38,0.4049011170864105,0.6791291832923889
2024,2,39,0.41908225417137146,0.6813467741012573
2024,2,40,0.3969095051288605,0.6875258088111877
2024,2,41,0.3722710609436035,0.6799321174621582
2024,2,42,0.40425390005111694,0.6674162745475769
2024,2,43,0.40508201718330383,0.6698950529098511
2024,2,44,0.3941258490085602,0.6566365957260132
2024,2,45,0.3922210931777954,0.6412683129310608
2024,2,46,0.38740864396095276,0.6505708694458008
2024,2,47,0.3691716194152832,0.6266966462135315
2024,2,48,0.36985960602760315,0.6039637923240662
2024,2,49,0.3532639443874359,0.6344081163406372
2024,3,0,0.5123474597930908,0.46561485528945923
2024,3,1,0.5053402781486511,0.45852959156036377
2024,3,2,0.5013284087181091,0.4604368805885315
2024,3,3,0.4978330135345459,0.4673353135585785
2024,3,4,0.4914991855621338,0.47315919399261475
2024,3,5,0.49202433228492737,0.4789339303970337
2024,3,6,0.49237680435180664,0.4883660674095154
2024,3,7,0.49309155344963074,0.49720054864883423
2024,3,8,0.48706749081611633,0.5114149451255798
