metric,mean,sd
R2,0.5034370931444079,0.015219235570049434
Pearson,0.7198846440550236,0.004844485988787332
RMSE,0.2266152672766833,0.0034536290413002594
ACC,0.7875757575757576,0.011901416294942728
Precision,0.8031646435093682,0.025661226098490426
Recall,0.7023569023569023,0.058347360827424116
F1,0.7475609576165327,0.024869449502629648
AUC,0.8827206871284007,0.0038158925076070306
MCC,0.5713985850904971,0.02303862723976262
