seed,fold,best_epoch
2024,0,9
2024,1,11
2024,2,10
2024,3,11
2024,4,11
2025,0,9
2025,1,9
2025,2,13
2025,3,11
2025,4,11
2026,0,11
2026,1,13
2026,2,10
2026,3,14
2026,4,12
2027,0,11
2027,1,12
2027,2,12
2027,3,11
2027,4,9
2028,0,10
2028,1,14
2028,2,14
2028,3,11
2028,4,10
