metric,mean,sd
R2,0.5400305019990729,0.010112076895589302
Pearson,0.7381377092604742,0.003902446603082083
RMSE,0.21811527300534675,0.0023873937762933064
ACC,0.8066666666666666,0.004862668647236702
Precision,0.8048564091830182,0.016020028737965382
Recall,0.7542087542087541,0.036028509358640874
F1,0.77799884664898,0.012670860432630101
AUC,0.8923430818747622,0.0022908548419329107
MCC,0.6089299540089858,0.009601764072914937
