alpha,r2_sel,r2_test,seed
0.0,0.42912645472909927,0.48925896714369554,2027
0.05,0.4390209560659898,0.5008004691604877,2027
0.1,0.4479561819493194,0.5111499670885509,2027
0.15,0.45593213237908836,0.5203074609278854,2027
0.2,0.46294880735529664,0.5282729506784908,2027
0.25,0.46900620687794403,0.5350464363403673,2027
0.3,0.47410433094703064,0.540627917913515,2027
0.35,0.4782431795625566,0.5450173953979338,2027
0.4,0.48142275272452173,0.5482148687936236,2027
0.45,0.4836430504329261,0.5502203381005846,2027
0.5,0.4849040726877697,0.5510338033188166,2027
0.55,0.4852058194890525,0.5506552644483196,2027
0.6,0.48454829083677464,0.5490847214890939,2027
0.65,0.4829314867309359,0.5463221744411391,2027
0.7,0.48035540717153646,0.5423676233044554,2027
0.75,0.47682005215857626,0.537221068079043,2027
0.8,0.47232542169205527,0.5308825087649015,2027
0.85,0.4668715157719735,0.5233519453620311,2027
0.9,0.46045833439833106,0.514629377870432,2027
0.95,0.45308587757112784,0.5047148062901038,2027
1.0,0.44475414529036383,0.49360823062104653,2027
