alpha,r2_sel,r2_test,seed
0.0,0.4261627951641195,0.47484583308526007,2024
0.05,0.43604286153875516,0.48549859570780407,2024
0.1,0.4450049030366625,0.49490366374780104,2024
0.15,0.45304891965784144,0.5030610372052509,2024
0.2,0.46017491140229194,0.5099707160801537,2024
0.25,0.4663828782700141,0.5156327003725092,2024
0.3,0.471672820261008,0.5200469900823177,2024
0.35,0.4760447373752734,0.5232135852095792,2024
0.4,0.4794986296128104,0.5251324857542936,2024
0.45,0.4820344969736191,0.5258036917164609,2024
0.5,0.48365233945769937,0.5252272030960814,2024
0.55,0.4843521570650513,0.5234030198931545,2024
0.6,0.4841339497956747,0.5203311421076805,2024
0.65,0.4829977176495699,0.5160115697396594,2024
0.7,0.48094346062673665,0.5104443027890915,2024
0.75,0.4779711787271751,0.5036293412559765,2024
0.8,0.4740808719508851,0.4955666851403141,2024
0.85,0.4692725402978667,0.4862563344421047,2024
0.9,0.46354618376811996,0.4756982891613484,2024
0.95,0.4569018023616448,0.4638925492980448,2024
1.0,0.4493393960784413,0.4508391148521943,2024
