alpha,r2_sel,r2_test,seed
0.0,0.42840976134968445,0.4745794143731795,2026
0.05,0.43727332738596225,0.48770753273890455,2026
0.1,0.44524994716210253,0.4994152407932967,2026
0.15,0.4523396206781053,0.509702538536356,2026
0.2,0.45854234793397053,0.5185694259680824,2026
0.25,0.46385812892969813,0.5260159030884761,2026
0.3,0.4682869636652883,0.5320419698975369,2026
0.35,0.4718288521407409,0.5366476263952649,2026
0.4,0.4744837943560559,0.5398328725816601,2026
0.45,0.47625179031123344,0.5415977084567225,2026
0.5,0.47713284000627343,0.541942134020452,2026
0.55,0.4771269434411759,0.5408661492728486,2026
0.6,0.47623410061594074,0.5383697542139125,2026
0.65,0.47445431153056816,0.5344529488436436,2026
0.7,0.47178757618505796,0.5291157331620417,2026
0.75,0.4682338945794102,0.5223581071691072,2026
0.8,0.46379326671362486,0.5141800708648397,2026
0.85,0.4584656925877021,0.5045816242492394,2026
0.9,0.4522511722016417,0.4935627673223063,2026
0.95,0.44514970555544386,0.48112350008404037,2026
1.0,0.4371612926491084,0.46726382253444165,2026
