alpha,r2_sel,r2_test,seed
0.0,0.42997606155735,0.4749284704963922,2028
0.05,0.4396364656501115,0.48724190207261764,2028
0.1,0.44835605523112576,0.49827798815902113,2028
0.15,0.4561348303003929,0.5080367287556027,2028
0.2,0.4629727908579132,0.516518123862362,2028
0.25,0.46886993690368617,0.5237221734792994,2028
0.3,0.47382626843771203,0.5296488776064148,2028
0.35,0.4778417854599908,0.5342982362437081,2028
0.4,0.48091648797052244,0.5376702493911795,2028
0.45,0.4830503759693069,0.5397649170488288,2028
0.5,0.48424344945634434,0.540582239216656,2028
0.55,0.4844957084316346,0.5401222158946614,2028
0.6,0.48380715289517773,0.5383848470828447,2028
0.65,0.48217778284697377,0.5353701327812059,2028
0.7,0.4796075982870227,0.5310780729897451,2028
0.75,0.47609659921532455,0.5255086677084624,2028
0.8,0.4716447856318793,0.5186619169373574,2028
0.85,0.4662521575366868,0.5105378206764306,2028
0.9,0.45991871492974723,0.5011363789256819,2028
0.95,0.45264445781106055,0.49045759168511105,2028
1.0,0.4444293861806268,0.4785014589547182,2028
