alpha,r2_sel,r2_test,seed
0.0,0.41777857620093184,0.4892016269719367,2025
0.05,0.42845263412646684,0.5003279826958893,2025
0.1,0.4381391873747148,0.5102259445252866,2025
0.15,0.4468382359456756,0.5188955124601287,2025
0.2,0.45454977983934974,0.5263366865004151,2025
0.25,0.46127381905573694,0.5325494666461463,2025
0.3,0.4670103535948371,0.5375338528973224,2025
0.35,0.47175938345665036,0.541289845253943,2025
0.4,0.4755209086411767,0.5438174437160082,2025
0.45,0.4782949291484161,0.545116648283518,2025
0.5,0.48008144497836847,0.5451874589564726,2025
0.55,0.48088045613103403,0.5440298757348718,2025
0.6,0.48069196260641256,0.5416438986187156,2025
0.65,0.47951596440450417,0.5380295276080043,2025
0.7,0.47735246152530897,0.5331867627027373,2025
0.75,0.47420145396882685,0.5271156039029152,2025
0.8,0.4700629417350576,0.5198160512085377,2025
0.85,0.4649369248240016,0.5112881046196049,2025
0.9,0.4588234032356585,0.5015317641361168,2025
0.95,0.4517223769700286,0.4905470297580732,2025
1.0,0.44363384602711176,0.4783339014854744,2025
